abbrevName, fullName, shortDescription
DIS, Disney, Media powerhouse and global leader in theme parks and entertainment.
MCD, McDonald's, The world's largest fast-food restaurant chain.
LIN, Linde, Largest industrial gas company in the world.
SHEL, Shell, Major multi-national energy and petrochemical firm.
RMS.PA, Hermès, Iconic French luxury goods manufacturer.
MC.PA, LVMH, The world's largest luxury goods conglomerate.
TTE, TotalEnergies, Major French integrated oil and gas company.
SAP, SAP, European leader in enterprise resource planning software.
CRM, Salesforce, Global leader in customer relationship management software.
TM, Toyota, World leader in automotive manufacturing and hybrid technology.
AZN, AstraZeneca, Major global biopharmaceutical company.
AMD, Advanced Micro Devices, Leading designer of computer processors and graphics technologies.
ITX.MC, Inditex, Parent company of Zara and world's largest fashion retailer.
ACN, Accenture, Global leader in professional services and digital transformation.
INTC, Intel, Major manufacturer of semiconductor computer circuits.
CMCSA, Comcast, Major telecommunications and media conglomerate.
MS, Morgan Stanley, Leading global investment bank and financial services firm.
GS, Goldman Sachs, Influential global investment banking and management firm.
NKE, Nike, World leader in athletic footwear and apparel.
PFE, Pfizer, Major research-based global biopharmaceutical company.
AXP, American Express, Global leader in premium credit cards and travel services.
IBM, IBM, Pioneer in enterprise hardware and AI research.
HON, Honeywell, Multi-industry conglomerate in aerospace and building technologies.
NEE, NextEra Energy, World leader in renewable energy and utility services.
OR.PA, L'Oréal, Global leader in beauty and personal care.
SU.PA, Schneider Electric, Leader in digital transformation of energy management.
SIEGY, Siemens, German industrial giant in automation and electrification.
UBS, UBS, Global leader in wealth management and financial services.
CVS, CVS Health, Healthcare innovation company and massive pharmacy chain.
HSBC, HSBC, One of the world's largest international banking organizations.
PTR, PetroChina, Major Chinese state-owned oil and gas producer.
1398.HK, ICBC, The world's largest bank by total assets.
0939.HK, China Construction Bank, Major global commercial banking institution.
601288.SS, Agricultural Bank of China, Leading provider of financial services in China.
BLK, BlackRock, The world's largest asset manager.
ISRG, Intuitive Surgical, Pioneer in robotic-assisted minimally invasive surgery.
NOW, ServiceNow, Leader in cloud-based digital workflow management.
PANW, Palo Alto Networks, Global leader in cybersecurity solutions.
AMAT, Applied Materials, Leader in materials engineering for the chip industry.
LMT, Lockheed Martin, Global leader in aerospace, defense, and security.
GE, General Electric, Pioneer in aviation, power, and renewable energy.
AIR.PA, Airbus, Leading global manufacturer of civil and military aircraft.
BKNG, Booking Holdings, World leader in online travel and related services.
UL, Unilever, Major global supplier of consumer goods and food.
DEO, Diageo, The world's largest producer of spirits.
TMUS, T-Mobile US, Major wireless network operator in the United States.
VZ, Verizon, Leading provider of technology and communications services.
T, AT&T, Major American telecommunications conglomerate.
CAT, Caterpillar, World's leading manufacturer of construction and mining equipment.
DE, Deere & Company, Leader in agricultural and forestry machinery.
SBUX, Starbucks, The world's largest coffeehouse chain.
ADP, Automatic Data Processing, Global leader in human resources management software.
UPS, UPS, Global leader in logistics and package delivery.
FDX, FedEx, Major multi-national courier and delivery services company.
UBER, Uber, Global leader in ride-sharing and food delivery services.
ABNB, Airbnb, Pioneer in the global short-term rental marketplace.
PLTR, Palantir Technologies, Leader in big data analytics for government and finance.
1211.HK, BYD, World's largest manufacturer of electric vehicles.
BABA, Alibaba Group, Chinese e-commerce and cloud computing giant.
3690.HK, Meituan, Leading Chinese platform for local services and delivery.
XIACF, Xiaomi, Global electronics giant known for smartphones and IoT.
BIDU, Baidu, Major Chinese AI and internet search provider.
JD, JD.com, Massive Chinese e-commerce retailer.
PDD, PDD Holdings, Parent of Pinduoduo and Temu, global e-commerce disruptor.
9984.T, SoftBank, Major global investment holding company focused on tech.
SONY, Sony, Global leader in gaming, entertainment, and image sensors.
NTDOY, Nintendo, Iconic video game company and entertainment brand.
6861.T, Keyence, Leader in sensors and automation for manufacturing.
9983.T, Fast Retailing, Parent company of Uniqlo and global apparel leader.
RELIANCE.NS, Reliance Industries, Indian conglomerate dominant in energy and telecom.
TCS.NS, Tata Consultancy Services, Global leader in IT services and consulting.
HDB, HDFC Bank, India's largest private sector bank.
NSRGY, Nestlé, The world's largest food and beverage company.
RHHBY, Roche, Global leader in biotechnology and diagnostics.
NVS, Novartis, Major Swiss multi-national pharmaceutical company.
GSK, GSK, Leading global healthcare and vaccine company.
SNY, Sanofi, Major French multi-national pharmaceutical firm.
VWAGY, Volkswagen, One of the world's largest automotive manufacturers.
MBGYY, Mercedes-Benz, Leader in luxury automotive engineering.
BMWYY, BMW Group, Major manufacturer of luxury vehicles and motorcycles.
RACE, Ferrari, The world's most powerful luxury automotive brand.
RIO, Rio Tinto, Major global mining and metals group.
BHP, BHP Group, One of the world's largest diversified resources companies.
BP, BP, Major global energy company shifting toward renewables.
E, Eni, Italian integrated energy company.
EQNR, Equinor, Norwegian energy leader in offshore wind and oil.
IBE.MC, Iberdrola, Global leader in clean energy and wind power.
ENEL.MI, Enel, Major Italian manufacturer and distributor of electricity and gas.
DG.PA, Vinci, Global leader in concessions and construction.
ADYEN.AS, Adyen, Global payments platform used by major tech firms.
SPOT, Spotify, The world's most popular audio streaming subscription service.
ASOS.L, ASOS, Global online fashion and cosmetic retailer.
DASTY, Dassault Systèmes, Leader in 3D design software and digital twins.
ARM, Arm Holdings, Critical designer of architecture for mobile and AI chips.
MU, Micron Technology, Major producer of computer memory and data storage.
LRCX, Lam Research, Supplier of wafer fabrication equipment for semiconductors.
SNPS, Synopsys, Leader in electronic design automation for chipmakers.
CDNS, Cadence Design Systems, Major provider of software for semiconductor design.
SNOW, Snowflake, Leader in cloud-based data warehousing and analytics.
CRWD, CrowdStrike, Major provider of cloud-delivered endpoint protection.
FTNT, Fortinet, Global leader in integrated cybersecurity solutions.
NET, Cloudflare, Critical provider of web infrastructure and security.
WDAY, Workday, Leader in enterprise cloud applications for finance and HR.
ADSK, Autodesk, Leader in software for architecture, engineering, and construction.
ADBE, Adobe, Global leader in creative software and digital experiences.
INTU, Intuit, Provider of financial management software like TurboTax and QuickBooks.
PYPL, PayPal, Pioneer and leader in digital wallet and payment services.
SQ, Block, Fintech leader in small business payments and Bitcoin.
COIN, Coinbase, Major global platform for cryptocurrency exchange.
MELI, MercadoLibre, The largest e-commerce and payments platform in Latin America.
SE, Sea Limited, Southeast Asian leader in gaming, e-commerce, and fintech.
GRAB, Grab, Leading super-app for ride-hailing and delivery in Southeast Asia.
DIDIY, Didi Global, Major Chinese ride-hailing service.
CPNG, Coupang, South Korea's dominant e-commerce platform.
INFY, Infosys, Major Indian multi-national provider of business consulting and IT.
WIT, Wipro, Leading global information technology and consulting firm.
TWSE, MediaTek, Major designer of chips for mobile phones and home tech.
000660.KS, SK Hynix, Leading global supplier of DRAM and NAND flash memory.
373220.KS, LG Energy Solution, Major global manufacturer of EV batteries.
PCRFY, Panasonic, Global leader in electronics and battery technology.
HMC, Honda, Major multi-national manufacturer of automobiles and engines.
SMFG, Sumitomo Mitsui Financial, Leading Japanese banking and financial group.
MFG, Mizuho Financial, Major Japanese financial services company.
CBA.AX, Commonwealth Bank, Australia's largest retail and commercial bank.
RY, Royal Bank of Canada, One of North America's leading diversified financial firms.
TD, Toronto-Dominion Bank, Major Canadian multi-national banking group.
SHOP, Shopify, Leading e-commerce platform for independent merchants.
LULU, Lululemon, Pioneer in the athleisure apparel market.
EL, Estée Lauder, Global leader in prestige beauty and skincare.
MDLZ, Mondelez International, Global snack giant owning Oreo and Cadbury.
KHC, Kraft Heinz, Major global food and beverage manufacturer.
GIS, General Mills, Leading global manufacturer of branded consumer foods.
HSY, Hershey, Iconic American chocolate and snack manufacturer.
TGT, Target, Major American mass-market retailer.
LOW, Lowe's, Leading home improvement retailer.
CMG, Chipotle, Leader in the fast-casual restaurant industry.
HLT, Hilton, Global leader in hospitality and hotel management.
MAR, Marriott International, The world's largest hotel chain by room count.
DAL, Delta Air Lines, Leading global airline by revenue and reputation.
UAL, United Airlines, Major American international airline.
BA, Boeing, Major global aerospace and defense manufacturer.
NOC, Northrop Grumman, Global leader in aerospace and defense technology.
RTX, RTX, Major aerospace and defense conglomerate.
GD, General Dynamics, Leading global aerospace and defense company.
STLA, Stellantis, Global automaker owning Jeep, Ram, and Peugeot.
F, Ford Motor Company, American automotive pioneer and EV competitor.
GM, General Motors, Major global automaker focused on an electric future.
HYMTF, Hyundai Motor, Leading South Korean automotive manufacturer.
000270.KS, Kia, Major global automotive brand known for design and value.
CL, Colgate-Palmolive, Global leader in oral and personal care products.
